Id,Year,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Player_Type,Position_Type,Position,Drafted
0,2011,21.0,Lehigh,1.905,140.1600423,5.39,59.69,29.0,251.46,7.91,4.94,offense,offensive_lineman,OG,1.0
1,2011,24.0,Abilene Christian,1.8288,87.08973504,4.31,101.6,16.0,332.74,,,offense,backs_receivers,WR,1.0
2,2018,21.0,Colorado St.,1.8542,92.98643585,4.51,91.44,10.0,309.88,6.95,4.37,offense,backs_receivers,WR,1.0
3,2010,21.0,East Carolina,1.9304,148.7782974,5.09,76.2,39.0,254.0,8.12,4.71,defense,defensive_lineman,DT,1.0
4,2016,21.0,California,1.8796,92.07925111,4.64,78.74,,281.94,7.13,4.2,offense,backs_receivers,WR,1.0
5,2011,21.0,Fresno St.,1.8542,112.4909078,4.58,91.44,27.0,289.56,6.88,4.34,defense,line_backer,OLB,1.0
6,2011,23.0,Utah St.,1.8288,89.35769689,4.42,95.25,12.0,312.42,6.87,4.07,defense,defensive_back,CB,1.0
7,2015,23.0,Missouri,1.7526,89.81128926,4.61,73.66,11.0,276.86,,4.4,offense,backs_receivers,RB,1.0
8,2012,22.0,Pittsburgh,1.9558,143.7887813,5.36,74.93,,259.08,7.81,4.9,offense,offensive_lineman,OG,0.0
9,2018,22.0,Nevada,1.9304,138.7992652,5.15,71.12,19.0,269.24,7.87,4.5,offense,offensive_lineman,OG,1.0
10,2015,20.0,Minnesota,1.9304,112.9445001,4.78,87.63,17.0,297.18,7.3,4.37,offense,backs_receivers,TE,1.0
11,2019,21.0,Memphis,1.7272,94.34721296,4.49,85.09,22.0,307.34,,,offense,backs_receivers,RB,1.0
12,2019,22.0,Michigan,1.7526,93.44002822,4.49,86.36,21.0,312.42,,,offense,backs_receivers,RB,0.0
13,2012,22.0,Nebraska,1.778,92.53284348,4.48,93.98,,307.34,,,defense,defensive_back,CB,1.0
14,2012,21.0,South Carolina,1.8288,86.1825503,4.38,91.44,15.0,312.42,6.61,3.94,defense,defensive_back,CB,1.0
15,2019,21.0,Oregon,1.8542,89.35769689,4.46,92.71,12.0,309.88,,4.29,offense,backs_receivers,WR,1.0
16,2019,,UC Davis,1.8796,95.70799007,,,8.0,,,,offense,backs_receivers,WR,0.0
17,2012,,Yale,1.905,102.0582833,5.06,80.01,,256.54,7.14,4.37,offense,backs_receivers,QB,0.0
18,2015,23.0,Oklahoma,1.9558,146.9639279,5.35,73.66,29.0,246.38,,4.92,offense,offensive_lineman,OT,1.0
19,2010,22.0,Colorado St.,2.0066,142.8815966,5.37,57.15,18.0,243.84,7.65,4.77,offense,offensive_lineman,OT,0.0
20,2014,22.0,Missouri,1.9812,147.4175203,5.19,69.85,23.0,254.0,8.14,4.69,offense,offensive_lineman,OT,1.0
21,2015,21.0,Indiana,1.8034,93.44002822,4.4,,22.0,,,,offense,backs_receivers,RB,1.0
22,2017,22.0,Villanova,2.0066,131.0881949,4.83,76.2,23.0,325.12,7.46,4.62,defense,defensive_lineman,DE,1.0
23,2011,20.0,Virginia Tech,1.7526,96.16158244,4.59,101.6,19.0,312.42,6.96,4.18,offense,backs_receivers,RB,1.0
24,2013,21.0,Kentucky,1.905,150.5926668,5.58,57.15,28.0,243.84,7.78,5.1,offense,offensive_lineman,OG,1.0
25,2018,,Ohio St.,1.8034,88.45051215,4.62,,17.0,,,,defense,defensive_back,S,0.0
26,2009,23.0,Michigan St.,1.8796,97.52235955,5.02,81.28,,276.86,7.1,4.42,offense,backs_receivers,QB,0.0
27,2011,22.0,LSU,1.8034,102.0582833,4.65,91.44,18.0,299.72,6.78,4.21,offense,backs_receivers,RB,1.0
28,2016,,West Virginia,1.905,99.33672903,5.05,,,,,,special_teams,kicking_specialist,P,0.0
29,2011,23.0,North Carolina,1.905,99.33672903,5.06,74.93,,264.16,6.96,4.12,offense,backs_receivers,QB,1.0
30,2012,,Purdue,1.8542,100.2439138,4.91,,,,,,special_teams,kicking_specialist,K,0.0
