iter	Logloss
0	0.6759125134
1	0.659211667
2	0.6438240492
3	0.6302296763
4	0.6176591823
5	0.6054200784
6	0.5951420426
7	0.5847563563
8	0.575527357
9	0.5662282182
10	0.5581443129
11	0.5502920443
12	0.5442950375
13	0.538576645
14	0.5323162921
15	0.5261464207
16	0.5198077203
17	0.5133551899
18	0.508078489
19	0.503808707
20	0.4996425647
21	0.495474922
22	0.4922812816
23	0.4878727851
24	0.4844303687
25	0.4811530697
26	0.4778000958
27	0.4746698513
28	0.4712649359
29	0.4685184398
30	0.4661130684
31	0.4634964224
32	0.461184658
33	0.4583877145
34	0.4559113213
35	0.4541021943
36	0.4522252594
37	0.450102804
38	0.4486564966
39	0.4468019383
40	0.4454293438
41	0.4437995959
42	0.4418770496
43	0.4400446677
44	0.4385801456
45	0.437382448
46	0.4355861329
47	0.4337384327
48	0.4322429546
49	0.4314503706
50	0.4298551097
51	0.428208368
52	0.4271720524
53	0.4263151237
54	0.4252722107
55	0.4244348579
56	0.4232182907
57	0.4222226031
58	0.4214568155
59	0.4206832209
60	0.4199785968
61	0.4193433372
62	0.4183602674
63	0.4174145821
64	0.4167669477
65	0.4161728951
66	0.4152435076
67	0.414727969
68	0.4137894011
69	0.412973002
70	0.4121211843
71	0.4115475675
72	0.4104911742
73	0.4098554013
74	0.4091737545
75	0.4089648854
76	0.4084304489
77	0.4078379953
78	0.4071994712
79	0.4064580867
80	0.4057169942
81	0.4047491474
82	0.4042844451
83	0.403618301
84	0.4030074999
85	0.402222853
86	0.4013424245
87	0.4006546833
88	0.3999181801
89	0.3992896576
90	0.3987635805
91	0.3979743149
92	0.3974728243
93	0.3967240837
94	0.3963161353
95	0.3955877084
96	0.3948556246
97	0.394308114
98	0.3935271125
99	0.3927905845
100	0.3923596387
101	0.3914838318
102	0.3909761392
103	0.3906848061
104	0.3903142682
105	0.390060748
106	0.3894918688
107	0.3891193427
108	0.3885195138
109	0.3879927206
110	0.3873994959
111	0.3871044657
112	0.3865100641
113	0.3860493
114	0.3851939775
115	0.3846943582
116	0.3842166461
117	0.3837853276
118	0.3833916613
119	0.3831518747
120	0.3825628072
121	0.3818484942
122	0.3814156869
123	0.3805544147
124	0.3801616415
125	0.3796490383
126	0.3793101944
127	0.378701986
128	0.3783426054
129	0.3779175023
130	0.3775318721
131	0.3772161543
132	0.3766355501
133	0.3763446791
134	0.3757427425
135	0.3753992366
136	0.3751283687
137	0.374776077
138	0.3742584647
139	0.3737308118
140	0.37338596140141	0.3727948772
142	0.3725750625
143	0.3717049716
144	0.3713396534
145	0.3707365112
146	0.3700548126
147	0.369749949
148	0.3691223441
149	0.3687601596
150	0.3684249153
151	0.3681257145
152	0.3680203602
153	0.3675625262
154	0.3669368327
155	0.3665063771
156	0.3662651533
157	0.365755238
158	0.3656187588
159	0.3652539442
160	0.3649345797
161	0.3646118514
162	0.3643894212
163	0.3642615666
164	0.3638393148
165	0.3633885637
166	0.3631706183
167	0.3626103726
168	0.3620276274
169	0.3615853805
170	0.36110256
171	0.3609763163
172	0.3603641849
173	0.3599373369
174	0.3594315473
175	0.3590602735
176	0.3584185741
177	0.3579878598
