iter	Passed	Remaining
0	3	3318
1	5	2939
2	9	3180
3	12	3081
4	15	2974
5	17	2890
6	20	2827
7	22	2814
8	26	2898
9	29	2858
10	31	2827
11	34	2833
12	37	2806
13	40	2845
14	43	2829
15	45	2803
16	48	2783
17	51	2769
18	53	2758
19	58	2837
20	61	2840
21	64	2836
22	67	2844
23	70	2829
24	75	2916
25	78	2901
26	80	2892
27	83	2874
28	86	2880
29	90	2900
30	93	2900
31	96	2898
32	99	2889
33	102	2896
34	106	2904
35	109	2900
36	112	2895
37	115	2897
38	119	2923
39	123	2937
40	126	2942
41	131	2969
42	136	3021
43	140	3023
44	143	3021
45	146	3023
46	152	3061
47	155	3057
48	158	3062
